"Player","Number","Position","Height","Weight","Birth_Date","Country","Year_Experience","College","Team","Rank.x","Age","Game","Games_Started","Minutes_Played","Field_Goals","Field_Goals_Attempts","Field_Goals_Pct","Three_Point_Field_Goals","Three_Point_Field_Goals_Attempts","Three_Point_Pct","Two_Point_Field_Goals","Two_Point_Field_Goals_Attempts","Two_Point_Pct","Effective_Field_Goals_Pct","Free_Throws","Free_Throws_Attempts","Free_Throws_Pct","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank.y","Salary"
"Alec Burks",10,"SG",198.12,214,1991-07-20,"us","4","University of Colorado","UTA",12,24,31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412,3,9213484
"Chris Johnson",23,"SF",198.12,206,1990-04-29,"us","3","University of Dayton","UTA",11,25,70,2,857,72,194,0.371,27,99,0.273,45,95,0.474,0.441,34,42,0.81,27,105,132,45,32,20,40,100,205,14,981348
"Derrick Favors",15,"PF",208.28,265,1991-07-15,"us","5","Georgia Institute of Technology","UTA",3,24,62,59,1983,418,811,0.515,0,4,0,418,807,0.518,0.515,180,254,0.709,169,334,503,94,74,91,104,150,1016,2,11933333
"Elijah Millsap",13,"SG",198.12,225,1987-08-12,"us","1","University of Alabama at Birmingham","UTA",14,28,20,0,173,11,39,0.282,1,12,0.083,10,27,0.37,0.295,13,18,0.722,6,29,35,19,7,3,9,33,36,17,362878
"Erick Green",18,"PG",193.04,185,1991-05-09,"us","1","Virginia Polytechnic Institute and State University","UTA",16,24,6,0,35,5,12,0.417,1,4,0.25,4,8,0.5,0.458,2,2,1,3,2,5,2,1,0,0,4,13,19,99418
"Gordon Hayward",20,"SF",203.2,226,1990-03-23,"us","5","Butler University","UTA",1,25,80,80,2893,521,1202,0.433,143,410,0.349,378,792,0.477,0.493,393,477,0.824,61,336,397,296,95,27,202,183,1578,1,15409570
"J.J. O'Brien",22,"SF",200.66,228,1992-04-08,"us","R","San Diego State University","UTA",17,23,2,0,6,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,1,1,0,1,0,0,1,0,18,105888
"Jeff Withey",24,"C",213.36,231,1990-03-07,"us","2","University of Kansas","UTA",13,25,51,10,658,87,162,0.537,0,2,0,87,160,0.544,0.537,43,59,0.729,56,117,173,20,21,53,28,75,217,15,947276
"Joe Ingles",2,"SF",203.2,226,1987-10-02,"au","1",NA,"UTA",9,28,81,2,1241,124,291,0.426,81,210,0.386,43,81,0.531,0.565,13,18,0.722,19,132,151,96,55,4,65,98,342,9,2250000
"Raul Neto",25,"PG",185.42,179,1992-05-19,"br","R",NA,"UTA",6,23,81,53,1499,180,418,0.431,64,162,0.395,116,256,0.453,0.507,52,70,0.743,17,103,120,174,62,2,109,122,476,13,1e+06
"Rodney Hood",5,"SG",203.2,206,1992-10-20,"us","1","Duke University","UTA",2,23,79,79,2541,408,972,0.42,161,449,0.359,247,523,0.472,0.503,172,200,0.86,38,229,267,213,73,16,125,202,1149,11,1348440
"Rudy Gobert",27,"C",215.9,245,1992-06-26,"fr","2",NA,"UTA",4,23,61,60,1932,198,354,0.559,0,0,NA,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557,12,1175880
"Shelvin Mack",8,"PG",190.5,203,1990-04-22,"us","4","Butler University","UTA",10,25,28,27,879,142,320,0.444,35,98,0.357,107,222,0.482,0.498,36,49,0.735,11,95,106,149,26,3,81,65,355,8,2433333
"Tibor Pleiss",21,"C",220.98,256,1989-11-02,"de","R",NA,"UTA",15,26,12,0,82,11,25,0.44,0,2,0,11,23,0.478,0.44,2,2,1,6,9,15,2,1,2,8,19,24,6,3e+06
"Trevor Booker",33,"PF",203.2,228,1987-11-25,"us","5","Clemson University","UTA",5,28,79,2,1632,190,388,0.49,12,41,0.293,178,347,0.513,0.505,71,106,0.67,166,286,452,84,59,41,81,169,463,4,4775000
"Trey Burke",3,"PG",185.42,191,1992-11-12,"us","2","University of Michigan","UTA",8,23,64,0,1366,262,634,0.413,88,256,0.344,174,378,0.46,0.483,67,82,0.817,18,94,112,148,35,6,80,86,679,7,2658240
"Trey Lyles",41,"PF",208.28,234,1995-11-05,"ca","R","University of Kentucky","UTA",7,20,80,33,1382,191,436,0.438,49,128,0.383,142,308,0.461,0.494,57,82,0.695,59,240,299,59,26,18,65,114,488,10,2239800
