"player's name","total points","total rebounds","assists","steals","blocks","turnovers","games played","salary","missed field goals","missed free throws","efficiency index"
"Al Horford",15.2317073170732,7.26829268292683,3.20731707317073,0.829268292682927,1.47560975609756,-1.30487804878049,82,1.2e+07,-6.32926829268293,-0.317073170731707,14.1095458012545
"Mike Muscala",3.25,1.95,0.566666666666667,0.216666666666667,0.45,-0.45,60,947276,-1.26666666666667,-0.133333333333333,3.19165828075484
"Tiago Splitter",5.58333333333333,3.33333333333333,0.833333333333333,0.555555555555556,0.333333333333333,-0.666666666666667,36,8500000,-2.05555555555556,-0.25,5.48559015439514
"Walter Tavares",2.27272727272727,1.90909090909091,0.272727272727273,0.0909090909090909,0.545454545454545,-0.454545454545455,11,1e+06,-0.727272727272727,-0.454545454545455,2.48140942751779
"Kelly Olynyk",9.95652173913044,4.07246376811594,1.52173913043478,0.753623188405797,0.478260869565217,-1.07246376811594,69,2165160,-4.39130434782609,-0.463768115942029,8.71802778934176
"Tyler Zeller",6.06666666666667,2.96666666666667,0.483333333333333,0.166666666666667,0.366666666666667,-0.766666666666667,60,2616975,-2.53333333333333,-0.333333333333333,5.50625940821153
"Andrea Bargnani",6.60869565217391,2.10869565217391,0.391304347826087,0.0869565217391304,0.195652173913043,-0.565217391304348,46,1362900,-3.30434782608696,-0.217391304347826,5.33620573857481
"Brook Lopez",20.5616438356164,7.84931506849315,2.01369863013699,0.794520547945205,1.6986301369863,-2.3972602739726,73,2e+07,-7.75342465753425,-1.17808219178082,18.0234503340993
"Henry Sims",6.5,5.14285714285714,0.642857142857143,0.642857142857143,1,-0.857142857142857,14,161622,-3.14285714285714,-0.357142857142857,6.71582762500249
"Cameron Bairstow",1.88888888888889,1.55555555555556,0.333333333333333,0.111111111111111,0.166666666666667,-0.222222222222222,18,845059,-1.5,-0.0555555555555556,1.80888217426032
"Cristiano Felicio",3.38709677419355,3.29032258064516,0.838709677419355,0.193548387096774,0.419354838709677,-0.419354838709677,31,525090,-1.03225806451613,-0.32258064516129,3.98696596675554
"Joakim Noah",4.27586206896552,8.79310344827586,3.79310344827586,0.620689655172414,1,-1.79310344827586,29,13400000,-2.82758620689655,-0.793103448275862,6.80557665724679
"Pau Gasol",16.4861111111111,11.0138888888889,4.08333333333333,0.583333333333333,2.02777777777778,-2.27777777777778,72,7448760,-7.33333333333333,-0.833333333333333,16.4830906046089
"Al Jefferson",11.9574468085106,6.40425531914894,1.48936170212766,0.638297872340426,0.872340425531915,-0.723404255319149,47,13833333,-5.53191489361702,-0.829787234042553,11.0753145496746
"Cody Zeller",8.73972602739726,6.23287671232877,0.972602739726027,0.780821917808219,0.863013698630137,-0.931506849315068,73,4204200,-2.82191780821918,-0.780821917808219,9.12666978359392
"Frank Kaminsky",7.48148148148148,4.1358024691358,1.20987654320988,0.469135802469136,0.530864197530864,-0.716049382716049,81,2612500,-3.82716049382716,-0.493827160493827,6.88107239806023
"Channing Frye",7.53846153846154,3.57692307692308,1,0.307692307692308,0.307692307692308,-0.5,26,7807579,-3.46153846153846,-0.115384615384615,6.79995005999444
"Sasha Kaun",0.92,1.04,0.12,0.16,0.2,-0.28,25,1300000,-0.32,-0.24,1.10688129435326
"Timofey Mozgov",6.25,4.43421052631579,0.434210526315789,0.289473684210526,0.75,-0.934210526315789,76,4950000,-2.05263157894737,-0.355263157894737,6.46834305266008
"JaVale McGee",5.05882352941176,3.91176470588235,0.0882352941176471,0.147058823529412,0.764705882352941,-0.617647058823529,34,1270964,-1.67647058823529,-0.529411764705882,5.34929926722474
"Salah Mejri",3.67647058823529,3.61764705882353,0.294117647058824,0.235294117647059,1.05882352941176,-0.676470588235294,34,525093,-0.852941176470588,-0.558823529411765,4.37134190906407
"Zaza Pachulia",8.55263157894737,9.44736842105263,1.68421052631579,0.842105263157895,0.289473684210526,-1.56578947368421,76,5200000,-3.30263157894737,-0.842105263157895,10.232437046907
"J.J. Hickson",6.85,4.35,0.8,0.5,0.6,-0.8,20,5613500,-2.7,-1.6,6.66893494211248
"Joffrey Lauvergne",7.88135593220339,4.91525423728814,0.949152542372881,0.220338983050847,0.254237288135593,-0.915254237288136,59,1709720,-3.13559322033898,-0.11864406779661,7.72718621255531
"Jusuf Nurkic",8.21875,5.46875,1.25,0.75,1.375,-1.71875,32,1842000,-4.40625,-1.1875,7.82157777689493
"Nikola Jokic",9.95,7,2.3625,0.9875,0.625,-1.3,80,1300000,-3.6625,-0.45,10.3281177146664
"Andre Drummond",16.2222222222222,14.7901234567901,0.827160493827161,1.46913580246914,1.38271604938272,-1.91358024691358,81,3272091,-6.27160493827161,-4.66666666666667,17.6674558070187
"Aron Baynes",6.34567901234568,4.74074074074074,0.62962962962963,0.259259259259259,0.641975308641975,-0.827160493827161,81,6500000,-2.34567901234568,-0.481481481481481,6.60503528987455
"Joel Anthony",0.947368421052632,1.10526315789474,0.0526315789473684,0.105263157894737,0.631578947368421,-0.105263157894737,19,2500000,-0.210526315789474,-0.105263157894737,1.24008862741466
"Anderson Varejao",2.63636363636364,2.27272727272727,0.681818181818182,0.227272727272727,0.227272727272727,-0.272727272727273,22,458575,-1.22727272727273,-0.590909090909091,2.82070197009788
"Andrew Bogut",5.35714285714286,7.02857142857143,2.31428571428571,0.471428571428571,1.62857142857143,-1.18571428571429,70,1.2e+07,-1.48571428571429,-0.371428571428571,7.2974953923351
"Festus Ezeli",6.95652173913043,5.58695652173913,0.695652173913043,0.391304347826087,1.08695652173913,-0.826086956521739,46,2008748,-2.23913043478261,-1.34782608695652,7.48711967533655
"Jason Thompson",2.14285714285714,1.92857142857143,0.678571428571429,0.142857142857143,0.285714285714286,-0.25,28,6431250,-0.785714285714286,-0.428571428571429,2.41289817177794
"Marreese Speights",7.11111111111111,3.31944444444444,0.847222222222222,0.263888888888889,0.472222222222222,-0.916666666666667,72,3815000,-3.59722222222222,-0.277777777777778,6.23237544676234
"Chuck Hayes",2,4,1,0,0,-1.5,2,83583,-0.5,0,3.23134531788705
"Clint Capela",7.03896103896104,6.41558441558442,0.61038961038961,0.766233766233766,1.19480519480519,-0.779220779220779,77,1242720,-2.15584415584416,-1.7012987012987,7.94044737007564
"Dwight Howard",13.7464788732394,11.7605633802817,1.38028169014085,0.971830985915493,1.59154929577465,-2.33802816901408,71,22359364,-3.2112676056338,-3.40845070422535,15.3302961697917
"Ian Mahinmi",9.29577464788732,7.14084507042254,1.46478873239437,0.915492957746479,1.05633802816901,-1.40845070422535,71,4e+06,-2.59154929577465,-1.30985915492958,10.0367732382589
"Jordan Hill",8.83561643835616,6.17808219178082,1.19178082191781,0.493150684931507,0.506849315068493,-1.26027397260274,73,4e+06,-3.71232876712329,-0.493150684931507,8.8860413213501
"Myles Turner",10.3166666666667,5.53333333333333,0.683333333333333,0.416666666666667,1.43333333333333,-1.11666666666667,60,2357760,-4.43333333333333,-0.55,9.60907736470146
"Cole Aldrich",5.46666666666667,4.8,0.833333333333333,0.783333333333333,1.13333333333333,-1.06666666666667,60,1100600,-1.51666666666667,-0.4,6.22267028573999
"DeAndre Jordan",12.7272727272727,13.7532467532468,1.16883116883117,0.662337662337662,2.2987012987013,-1.38961038961039,77,19500000,-1.96103896103896,-4.58441558441558,15.7760534096692
"Jeff Ayres",1.76470588235294,1.29411764705882,0.294117647058824,0,0.176470588235294,-0.352941176470588,17,317232,-0.647058823529412,0,1.83550810754288
